"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","378","15.2",39.7,"104.4","87","94.3","89","85.2","399","168","367","80",21.2,"2",0.5,0.5
"Hoerner, Nico","663538","370","13",36.8,"105.8","86.1","96.1","89.5","85","400","158","383","103",27.8,"3",0.8,0.7
"Clement, Ernie","676391","345","15.9",34.2,"109.7","85.1","94.5","88.6","82.9","399","166","375","77",22.3,"9",2.6,2.3
"Lopez, Otto","672640","342","8.2",31.6,"112.8","89.5","100.8","93.2","86.9","427","151","402","145",42.4,"24",7,5.6
"Albies, Ozzie","645277","341","17.7",34,"108.7","86.8","96.7","90.9","83.2","416","184","384","93",27.3,"14",4.1,3.2
"Marte, Ketel","606466","336","12.5",32.7,"116.9","91","102.7","93.5","89.8","452","168","412","150",44.6,"35",10.4,8.1
"Bichette, Bo","666182","330","8.1",36.1,"114.9","89.8","101.1","92.4","87.8","411","159","385","141",42.7,"22",6.7,5
"Naylor, Josh","647304","327","13",34.3,"111.5","87.5","98.7","91","86.5","433","152","390","118",36.1,"15",4.6,3.6
"Bregman, Alex","608324","325","17.4",30.8,"108.3","88","97.7","91.6","87.1","415","164","391","118",36.3,"14",4.3,3.1
"Simpson, Chandler","802415","324","0.6",25.3,"102.2","83.9","92.9","84.7","84.2","346","105",,"46",14.3,"0",0,0
"Edwards, Xavier","669364","324","10.4",38,"108.6","87","96.5","91.2","83.3","422","155","396","94",29,"14",4.3,3.2
"Burleson, Alec","676475","322","11.6",34.2,"111.7","91.7","102","96.4","87.6","443","167","407","156",48.4,"36",11.2,8.5
"Díaz, Yandy","650490","321","6.1",29.3,"113.7","91","102.7","94","90.3","439","147","386","152",47.6,"23",7.2,5.4
"Lee, Jung Hoo","808982","320","10.1",35.6,"107.6","87.1","96.3","89.1","86.1","427","157","378","92",28.7,"7",2.2,1.9
