"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Alcantara, Sandy","645261","443","11.5",31.6,"111.3","88.3","77.6","91.9","85.8","430","155","396","157",35.4,"25",5.6,4.2
"Sánchez, Cristopher","650911","370","2.7",31.4,"112.7","89.6","78.4","94.6","87","429","134","400","162",43.8,"31",8.4,5.6
"Wacha, Michael","608379","368","16.3",33.2,"115.8","88.4","77.8","92.4","84.6","444","173","402","133",36.1,"23",6.3,4.5
"Martinez, Nick","607259","367","16.5",36.2,"111.9","87.1","75.7","91.7","83.5","427","177","396","120",32.7,"26",7.1,5.8
"Lugo, Seth","607625","362","14.9",37,"111.5","90.7","80.6","93.3","88.8","448","179","402","161",44.5,"34",9.4,6.8
"Lorenzen, Michael","547179","360","11.7",33.3,"114.2","90.7","80.1","94.3","88.4","454","169","416","168",46.7,"33",9.2,6.8
"Baz, Shane","669358","357","13.2",36.4,"116.9","90.2","80","93.9","87","423","174","396","150",42,"25",7,4.9
"Rodriguez, Eduardo","593958","355","13.4",36.3,"111.4","88.7","77.8","93.4","84","432","174","414","133",37.5,"34",9.6,7.1
"Bibee, Tanner","676440","353","16.2",34,"115.6","89.6","79.3","92.6","87.3","422","172","390","143",40.5,"31",8.8,6.4
"Mikolas, Miles","571945","346","11.5",34.1,"113.3","89.9","78.6","94.8","85.7","421","169","393","144",41.6,"30",8.7,7.2
"Kirby, George","669923","346","10.7",32.4,"109.2","89.5","79.1","92.6","88","416","152","392","146",42.2,"24",6.9,5
"Gallen, Zac","668678","344","11.9",34.3,"113.6","90.8","80.2","95","87","448","171","402","153",44.7,"38",11,8.6
"Valdez, Framber","664285","342","7.3",28.9,"112","89.6","78.9","94.1","86.7","449","144","401","142",41.5,"22",6.4,4.6
"Kelly, Merrill","518876","342","13.1",40.6,"114.5","90.4","79.3","95.3","85.3","463","183","402","154",45,"46",13.5,10.2
"Abbott, Andrew","671096","339","16.6",30.7,"113","89.8","79.7","93.4","87.9","435","170","391","130",38.5,"24",7.1,5
"Gausman, Kevin","592332","339","15.8",33.9,"112.3","88.5","76.4","93.6","84.7","428","173","391","133",39.2,"28",8.3,5.7
"Cecconi, Slade","677944","336","12.3",38.1,"112.2","88.6","77.6","93.8","84","443","168","398","131",39,"28",8.3,6.2
"Rea, Colin","607067","336","11.6",36.6,"112.5","89.5","79.2","93.6","86","442","166","395","133",39.6,"35",10.4,7.6
"Keller, Mitch","656605","336","14.2",39,"111.7","89.4","78.6","93.2","85.9","434","178","396","141",42,"24",7.1,5.2
"Pallante, Andre","669467","333","6.2",30.3,"117.8","87.6","76.1","92.7","85.5","421","134","401","115",34.5,"20",6,4.5
"McGreevy, Michael","700241","332","10.1",32.8,"116","90.2","79.4","94.2","86.7","442","161","402","137",41.3,"32",9.6,7.5
"Peralta, Freddy","642547","331","15.8",33.5,"114.7","87.8","76.5","92.3","84.1","456","163","388","128",38.7,"18",5.4,3.7
"Elder, Bryce","693821","331","13.1",32.6,"113","90","79.9","93.8","87.2","454","163","397","132",39.9,"20",6,4.4
"King, Michael","650633","329","14.4",33.7,"114.6","87.6","76.5","92.7","83.7","445","163","400","112",34,"28",8.5,5.7
"Griffin, Foster","656492","328","12.1",36.3,"119","87.5","75","92.4","84.7","451","158","405","122",37.2,"31",9.5,6.6
"Eovaldi, Nathan","543135","326","9.8",29.4,"115.9","88.8","77.4","94.2","85.8","437","155","394","133",40.8,"28",8.6,5.8
"Nola, Aaron","605400","326","14.1",35.3,"113.5","88.6","76.8","94.5","81.5","438","176","398","132",40.5,"34",10.4,7.2
"Singer, Brady","663903","326","13.9",35.3,"113.4","90.7","80.5","93.7","87.4","443","176","397","134",41.1,"31",9.5,6.8
"Springs, Jeffrey","605488","324","17.6",34.9,"114.1","88.1","77.3","92.6","82.2","444","187","401","116",35.8,"32",9.9,7.1
"Imanaga, Shota","684007","324","17.3",31.8,"111.1","88","76.7","93.2","84.4","426","172","400","118",36.4,"32",9.9,6.9
"Freeland, Kyle","607536","321","14.4",36.4,"112.9","90.8","80.1","93.2","88.4","437","183","397","140",43.6,"35",10.9,8.2
"Cameron, Noah","702070","321","15.5",41.1,"115.9","89.6","78.8","93.1","86.3","440","178","403","126",39.3,"31",9.7,6.9
"Wrobleski, Justin","680736","320","14.9",35,"111.5","89.7","79.2","91.6","88.7","440","176","403","136",42.5,"24",7.5,5.7
"Littell, Zack","641793","320","18.7",36.6,"115.2","91.7","82.2","94.9","89.5","437","191","399","145",45.3,"36",11.3,8.7
"Webb, Logan","657277","319","6.9",29.8,"114.4","88.6","77","91.5","88.2","440","136","396","127",39.8,"17",5.3,3.9
"Ashcraft, Braxton","677952","317","13",33.1,"113.1","90.5","80.4","93.9","88","428","161","388","134",42.3,"21",6.6,4.4
"Woo, Bryan","693433","316","17.4",33.2,"114.3","89.6","79","93.7","87.3","439","173","390","135",42.7,"22",7,4.9
"Montero, Keider","672456","316","16.7",29.4,"111.8","88.6","78.2","93.2","86.6","451","162","396","120",38,"23",7.3,5.5
"Ray, Robbie","592662","315","19.1",31.7,"112.9","89.2","78.6","91.2","87.7","432","182","395","121",38.4,"29",9.2,6.2
"Detmers, Reid","672282","315","18.2",32.7,"112.6","89.8","79.9","92.2","89.1","445","179","408","119",37.8,"24",7.6,4.9
"Messick, Parker","800048","314","14.8",33.1,"110.4","87.2","75.9","91.4","85.1","429","152","390","104",33.1,"17",5.4,3.6
"Bradish, Kyle","680694","314","9.7",29.9,"114.2","88.2","76.8","92.5","86.3","439","149","392","117",37.3,"25",8,5.2
"Schlittler, Cam","693645","314","13.1",33.4,"115.1","87.9","76.4","92.1","85.1","424","166","387","122",38.9,"26",8.3,5.3
"Yamamoto, Yoshinobu","808967","314","8.9",31.2,"114.2","87.8","76.5","92","84.7","414","149","387","110",35,"21",6.7,4.6
"Gilbert, Logan","669302","313","17.9",37.1,"115.2","90.3","80","93.5","87","428","179","398","134",42.8,"33",10.5,7
