"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Webb, Logan",657277,2026,438,19.4,6.2,".280",".307",29.8,5.3,39.8,"77.007175253","94.117393165",20.5,48.3
"McLean, Nolan",690997,2026,469,28.8,8.7,".281",".286",34.3,6.5,35,"76.013214565","93.626637927",25.1,43.9
"Lugo, Seth",607625,2026,499,18.8,7.6,".344",".354",37,9.4,44.5,"80.616379322","94.919965621",18.8,46.5
"Gausman, Kevin",592332,2026,491,23.8,6.9,".312",".310",33.9,8.3,39.2,"76.419253072","94.546172139",27.1,50
"Baz, Shane",669358,2026,507,20.7,8.3,".322",".318",36.4,7,42,"80.035208034","94.546205803",21.7,48.5
"Valdez, Framber",664285,2026,479,18.4,7.9,".321",".320",28.9,6.5,41.5,"78.888381667","94.530099762",21.1,47.6
"Pallante, Andre",669467,2026,445,16.9,7,".305",".299",30.3,6.1,34.5,"76.09155189","93.650087591",20.3,44.8
"Martinez, Nick",607259,2026,452,13.7,4.4,".293",".330",36.2,7.1,32.7,"75.721921264","93.305554518",17.7,50.3
"Rea, Colin",607067,2026,462,17.5,8.2,".345",".358",36.9,10.4,39.6,"79.188121205","94.169129247",20.7,47.2
"Ray, Robbie",592662,2026,465,20.6,11.6,".305",".330",31.7,9.3,38.4,"78.569602143","94.037688436",25,47.7
"King, Michael",650633,2026,491,21,10,".287",".329",34,8.5,34,"76.525820994","93.368063364",25.6,45.7
"Cease, Dylan",656302,2026,427,36.3,10.5,".263",".267",33.5,5.4,33,"72.916461081","93.493120588",35.3,46.3
"Elder, Bryce",693821,2026,457,19.7,7.2,".308",".304",32.9,6,39.9,"79.949999448","94.318887446",22.5,47.6
"Burke, Sean",680732,2026,458,26.2,7.4,".297",".293",35,7.4,35.4,"78.493253836","93.490038733",24.6,48.4
"Alcantara, Sandy",645261,2026,598,18.4,6.4,".308",".300",31.8,5.7,35.4,"77.588553991","93.577275425",21.8,51.2
"Woo, Bryan",693433,2026,450,24.2,4.9,".277",".289",33.2,7,42.7,"79.04507293","94.391283312",24.8,53.5
"Cecconi, Slade",677944,2026,455,18,7.5,".340",".333",38.4,8.4,39,"77.578403313","94.058821631",20,46.6
"Burns, Chase",695505,2026,433,28.6,9,".277",".276",32.3,8.8,36.4,"78.829426899","93.663151899",31.8,49
"Hancock, Emerson",676106,2026,414,23.4,6.3,".271",".320",31,9.5,43.6,"78.688235845","94.756566408",23.3,50.9
"Luzardo, Jesús",666200,2026,483,29.6,7.7,".291",".266",34.1,5.4,30.7,"75.679369103","92.823814966",32.2,46.1
"Griffin, Foster",656492,2026,473,23.5,5.7,".282",".305",36.3,9.5,37.2,"75.049708951","94.003839102",25.2,48.9
