"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"McCarthy, Jake",664983,2026,334,17.7,5.4,".369",".312",37.5,5.6,25.7,"96.560852034","92.301920085",22.7,55.6
"Ohtani, Shohei",660271,2026,433,22.9,14.3,".387",".409",38.9,17,53.6,"103.689767273","96.82276553",29.8,44.9
"Manzardo, Kyle",700932,2026,327,31.5,10.1,".301",".303",33.9,10.8,40.3,"98.665523696","93.660527065",30.4,46.6
"Wood, James",695578,2026,484,29.1,16.7,".402",".426",41.1,22.1,59.3,"106.346775969","98.600319066",30.9,38.1
"Rocchio, Brayan",677587,2026,385,14,7,".329",".306",34,3.1,32.5,"97.258403793","92.646221828",22.8,49.7
"Tatis Jr., Fernando",665487,2026,444,20,8.8,".333",".357",31.4,11.2,53.2,"104.653014903","97.006319903",28.7,47.2
"Crawford, J.P.",641487,2026,349,20.1,14.3,".314",".332",35.7,6.7,36.2,"98.491719636","93.373632773",17.5,38.2
"Gonzales, Nick",693304,2026,399,18,7,".349",".324",33.8,3.1,36.5,"98.002239034","93.067622379",24.5,53.3
"Mead, Curtis",678554,2026,318,19.5,11,".371",".359",36.4,11.2,42.9,"100.370140841","94.300370327",18,41
"Tucker, Kyle",663656,2026,401,19.7,12,".309",".331",35.3,5.9,38.6,"98.400888162","93.495454649",23.2,48.5
"Collins, Isaac",686555,2026,336,22.9,11.6,".319",".310",31.8,5.6,41.1,"100.09282381","94.228198333",22,39.7
"Paredes, Isaac",670623,2026,410,15.1,9.5,".348",".319",37.5,6.1,30.4,"96.824983041","92.451518311",16.3,44.3
"Díaz, Yandy",650490,2026,428,13.8,9.1,".371",".362",29.3,7.2,47.6,"102.683600313","95.781445531",14.4,46.2
"Walker, Christian",572233,2026,414,23.4,8,".329",".298",31.2,9.8,42.4,"101.107806739","94.794112138",30,50.5
"Young, Cole",702284,2026,408,17.9,6.4,".309",".329",35.1,5.3,38.7,"99.285701126","93.772451728",19.5,48.7
"Rumfield, TJ",681198,2026,409,14.2,10.5,".375",".325",37.2,5.4,28.2,"96.41065443","92.209837987",20.6,49.6
"Marsh, Brandon",669016,2026,385,26.8,5.2,".346",".318",44.2,9.7,45,"100.242244264","94.422517287",26.2,53
"Crow-Armstrong, Pete",691718,2026,445,26.1,11.7,".388",".360",37.2,10.5,47.4,"101.954720923","95.61120251",28.3,49.6
"Winn, Masyn",691026,2026,380,19.5,8.7,".289",".299",33.1,3,35,"98.551536894","93.315091901",22.8,43.2
"Perez, Salvador",521692,2026,399,20.8,3.8,".269",".295",34,10,42.6,"100.230613219","94.276854845",25.8,56.9
"Burger, Jake",669394,2026,398,26.4,7.5,".313",".308",30,10.9,46.5,"102.60458062","95.694379612",34.4,50.5
